0 coconuts, no solution
1 coconuts, no solution
2 coconuts, no solution
3 coconuts, 2 people and 1 monkey
4 coconuts, no solution
5 coconuts, no solution
6 coconuts, no solution
7 coconuts, no solution
8 coconuts, no solution
9 coconuts, no solution
10 coconuts, no solution
10000000 coconuts, no solution
45 coconuts, no solution
4456 coconuts, no solution
2222 coconuts, no solution
546666234 coconuts, no solution
24234 coconuts, no solution
2346 coconuts, no solution
234166 coconuts, no solution
666 coconuts, no solution
332 coconuts, no solution
345 coconuts, no solution
234 coconuts, no solution
2 coconuts, no solution
367 coconuts, no solution
7 coconuts, no solution
1 coconuts, no solution
7 coconuts, no solution
8 coconuts, no solution
3 coconuts, 2 people and 1 monkey
4 coconuts, no solution
525 coconuts, no solution
356 coconuts, no solution
34 coconuts, no solution
23 coconuts, no solution
1000000000 coconuts, no solution
2000000000 coconuts, no solution
32132131 coconuts, 2 people and 1 monkey
