SOLN       COLUMN
 #      1 2 3 4 5 6 7 8

 1      3 5 2 8 1 7 4 6
 2      3 5 2 8 6 4 7 1
 3      3 6 2 5 8 1 7 4
 4      3 6 2 7 1 4 8 5
 5      3 6 2 7 5 1 8 4
 6      3 7 2 8 5 1 4 6
 7      3 7 2 8 6 4 1 5
 8      5 7 2 4 8 1 3 6
 9      5 7 2 6 3 1 4 8
10      5 7 2 6 3 1 8 4
11      6 4 2 8 5 7 1 3
12      6 8 2 4 1 7 5 3
13      7 4 2 5 8 1 3 6
14      7 4 2 8 6 1 3 5

SOLN       COLUMN
 #      1 2 3 4 5 6 7 8

 1      4 2 5 8 6 1 3 7
 2      4 2 8 6 1 3 5 7
 3      4 6 1 5 2 8 3 7
 4      5 2 4 6 8 3 1 7
 5      5 3 1 6 8 2 4 7
 6      5 8 4 1 3 6 2 7
 7      6 3 1 8 5 2 4 7
 8      6 3 5 8 1 4 2 7

SOLN       COLUMN
 #      1 2 3 4 5 6 7 8

 1      1 3 7 2 10 8 6 4
 2      1 4 2 8 10 7 3 6
 3      1 4 6 3 10 7 5 2
 4      1 4 7 5 10 2 6 3
 5      1 5 2 8 10 7 3 6
 6      1 5 2 8 10 7 4 6
 7      1 5 7 2 10 3 6 4
 8      1 5 7 2 10 8 6 3
 9      1 5 7 2 10 8 6 4
10      1 6 2 7 10 8 3 5
11      1 6 4 2 10 8 3 5
12      1 6 4 7 10 3 5 2
13      1 6 4 7 10 3 5 2
14      1 6 4 7 10 8 2 5
15      1 6 4 7 10 8 2 5
16      1 6 4 7 10 8 3 5
17      1 6 4 7 10 8 5 2
18      1 8 5 2 10 3 6 4
19      1 8 5 3 10 7 2 4
20      1 8 5 3 10 7 2 6
21      1 8 5 3 10 7 4 6
22      1 8 5 7 10 3 6 4
23      2 4 1 7 10 3 6 8
24      2 4 1 7 10 3 6 8
25      2 4 1 7 10 6 3 5
26      2 4 1 7 10 6 3 5
27      2 4 6 1 10 5 3 8
28      2 4 6 8 10 1 3 5
29      2 4 6 8 10 1 3 5
30      2 4 6 8 10 1 7 5
31      2 4 7 3 10 6 1 5
32      2 5 1 4 10 8 6 3
33      2 5 1 6 10 3 7 4
34      2 5 1 6 10 3 7 4
35      2 5 3 1 10 8 6 4
36      2 5 3 1 10 8 6 4
37      2 5 3 8 10 4 6 1
38      2 5 7 1 10 8 6 3
