25
1111.332 1123.1112
.223 9.8963
0.002331 .0012
1111.20000 1.0000
004112.000 21.00
.123 .001
3.333 -1.111
-1.111 3.333
.0  0.
0.  .0
000000000000000000000000000000000000000000000000000000.0000000000000000000000000000000000000000000000000000000000000000000 000000000000000000000000.
.0 62457.73682
9999.999999 00000000000000000000000000000000000000000.000001
3.3 6.6
4.00000000000000000000000000000000000000000000000000000000000000000000000000004 5.00000000000000000000000000000000000000000000000000000000000000000000000000006
0.99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
-1.0 -2.1
-11111111111111111111111111111111111111.111111111111111111111111111111 11111111111111111111111111111111111111.111111111111111111111111111111
421.652 -9876.0
-00000000000000000000000000000000351.542 000000000000000000000000000000000000000000000000000000000000000000000000000000000000351.5423
-0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000351.54230 00000000000000000000000000000000000000351.5423
-351.54231 351.5423
-9999.632 1.543
-.5 5.
-0. -0.
